key,locale,package,origin_text,text
activity::activitypoint.action_type_on_wall_label,en,metafox/activity,Post a new status on your profile.,Írj egy új állapotot a profilodra!
activity::activitypoint.action_type_post_on_other_label,en,metafox/activity,Post a new status on someone's profile.,Új állapot közzététele valakinek a profiljában.
activity::activitypoint.setting_post_on_other_action,en,metafox/activity,Post a new status on someone's profile.,Új állapot közzététele valakinek a profiljában.
activity::activitypoint.setting_post_on_other_description,en,metafox/activity,Post a new status on someone's profile.,Új állapot közzététele valakinek a profiljában.
activity::activitypoint.setting_post_on_wall_action,en,metafox/activity,Post a new status on your profile,Új állapot közzététele valakinek a profiljában.
activity::activitypoint.setting_post_on_wall_description,en,metafox/activity,Post a new status on your profile,Új állapot közzététele valakinek a profiljában.
activity::admin.activity_type_successfully_updated,en,metafox/activity,Type successfully updated.,A típus sikeresen frissítve.
activity::admin.add_comment_as_feed_description,en,metafox/activity,"If this setting is enabled it will add comments that are added to items such as videos, blogs, photos etc... as its own feed entry.","Ha ez a beállítás engedélyezve van, a megjegyzéseket hozzáadja az olyan elemekhez, mint a videók, blogok, fotók stb... mint saját feed bejegyzést."
activity::admin.add_comment_as_feed_label,en,metafox/activity,Add Comments as Feeds,Megjegyzések hozzáadása hírfolyamként
activity::admin.allow_choosing_sort_on_feed_description,en,metafox/activity,,
activity::admin.allow_choosing_sort_on_feed_label,en,metafox/activity,Allow Choosing Sort On Feed,Engedélyezni a rendezés kiválasztását a hírfolyamon
activity::admin.can_change_privacy_from_feed,en,metafox/activity,Can change privacy from feed,Lehetőség van a hírfolyam adatvédelmének módosítására
activity::admin.can_comment,en,metafox/activity,Can comment,Kommentelés engedélyezése
activity::admin.can_create_feed,en,metafox/activity,Can create feed,Hírfolyam létrehozása
activity::admin.can_edit,en,metafox/activity,Can edit,Szerkesztés engedélyezése
activity::admin.can_like,en,metafox/activity,Can like,Lájkolás engedélyezése
activity::admin.can_share,en,metafox/activity,Can share,Megosztás engedélyezése
activity::admin.check_new_in_minutes_description,en,metafox/activity,"The feed will be automatically refreshed at the specified time interval. If the input value is 0, your feed will not be automatically refreshed.","A hírfolyam automatikusan frissítve lesz a megadott időközönként. Ha az input értéke 0, akkor a hírfolyam nem fog automatikusan frissülni."
activity::admin.check_new_in_minutes_label,en,metafox/activity,How long will the feed be refreshed in minutes?,Hány percenként frissüljön a hírfolyam?
activity::admin.enable_checkin_description,en,metafox/activity,Enable Check-in feature. Note: The Check-in feature can be used when posting status or configuring page locations. The setting of Google API key need to be configured to use this feature.,"Bejelentkezési funkció engedélyezése. Megjegyzés: A bejelentkezési funkció akkor használható, amikor státuszot tesz közzé, vagy oldalhelyeket konfigurál. A Google API kulcs beállítását be kell állítani, hogy használhassa ezt a funkciót."
activity::admin.enable_checkin_label,en,metafox/activity,Enable Check-In,Bejelentkezés engedélyezése
activity::admin.enable_hide_feed_description,en,metafox/activity,"If enabled, users will be able to hide feed.","Ha engedélyezve van, a felhasználók elrejthetik a hírfolyamot."
activity::admin.enable_hide_feed_label,en,metafox/activity,Enable Hide Feed,Hírfolyam elrejtés engedélyezése
activity::admin.enable_tag_friends_description,en,metafox/activity,"If enabled, users will be able to tag their friends when posting a status update.","Ha engedélyezve van, a felhasználók elrejthetik a hírfolyamot."
activity::admin.enable_tag_friends_label,en,metafox/activity,Enable Tag Friends,Engedélyezze a Barátok megjelölését
activity::admin.feed_limit_days_description,en,metafox/activity,This setting controls how many days we should look back when displaying feeds. If you set this to 0 it will look for all the feeds. We advice to add a limit to keep your site fresh. Note that this setting does not apply when viewing a users profile as it will list all of their feeds.,"Ez a beállítás szabályozza, hogy hány napot kell visszanéznünk a hírcsatornák megjelenítésekor. Ha ezt 0-ra állítja, akkor az összes hírfolyamot megkeresi. Javasoljuk, hogy adjon meg egy korlátot, hogy webhelye friss maradjon. Vegye figyelembe, hogy ez a beállítás nem vonatkozik a felhasználói profilok megtekintésekor, mivel az összes hírfolyamot listázza."
activity::admin.feed_limit_days_label,en,metafox/activity,Feed Limit (Days),Hírfolyam korlát (napok)
activity::admin.friends_only_description,en,metafox/activity,Set to ON if you would like news feed to only be displayed to the user and their friends.,"Kapcsold be, ha szeretnéd, hogy a hírfolyam csak a felhasználók és barátaik számára látható legyen."
activity::admin.friends_only_label,en,metafox/activity,Friends Only,Csak barátok
activity::admin.is_active,en,metafox/activity,Active,Aktív
activity::admin.is_request,en,metafox/activity,Request,Kérés
activity::admin.load_feeds_limit,en,metafox/activity,Load Feeds Limit,Betöltött hírfolyamok korlátja
activity::admin.load_feeds_limit_description,en,metafox/activity,Limit the number of feeds that will be displayed in the main news feed during each page load.,Korlátozza a fő hírfolyamban megjelenített bejegyzések számát minden oldalbetöltéskor.
activity::admin.most_recent,en,metafox/activity,Most Recent,Legfrissebb
activity::admin.pin_homepage_description,en,metafox/activity,Set to :number to allow unlimited pinning of posts.,Állítsd :number -re az üzenetek korlátlan rögzítéséhez.
activity::admin.pin_homepage_label,en,metafox/activity,The maximum number of posts that can be pinned on the homepage,A kezdőlapon rögzíthető bejegyzések maximális száma.
activity::admin.pin_profile_description,en,metafox/activity,Set to :number to allow unlimited pinning of posts.,Állítsd :number -re az üzenetek korlátlan rögzítéséhez.
